t,open_price,close_price,high_price,low_price,volumn
20171109151200,8286000,8287000,8293000,8285000,2.2513262000000003
20171109151300,8293000,8294000,8294000,8293000,2.06123422
20171109151400,8297000,8293000,8298000,8293000,0.87598511
20171109151500,8292000,8298000,8298000,8288000,1.03416621
20171109151600,8297000,8298000,8299000,8295000,2.4443851000000003
20171109151700,8298000,8297000,8299000,8295000,2.52669752
20171109151800,8297000,8295000,8297000,8286000,2.97876938
20171109151900,8295000,8288000,8295000,8286000,2.32290521
20171109152000,8288000,8286000,8297000,8286000,1.41951884
20171109152100,8287000,8286000,8287000,8286000,1.57128968
20171109152200,8285000,8286000,8286000,8285000,1.11415956
20171109152300,8287000,8286000,8288000,8286000,1.28640778
20171109152400,8286000,8287000,8288000,8285000,1.66700226
20171109152500,8286000,8286000,8288000,8286000,0.75037521
20171109152600,8288000,8289000,8290000,8288000,1.31205642
20171109152700,8289000,8289000,8289000,8288000,1.3704611
20171109152800,8288000,8289000,8289000,8288000,0.4327718
20171109152900,8289000,8286000,8289000,8285000,0.94225511
20171109153000,8288000,8288000,8288000,8286000,0.9890961
20171109153100,8287000,8288000,8297000,8287000,1.98853929
20171109153200,8288000,8286000,8297000,8286000,0.829945
20171109153300,8297000,8289000,8297000,8287000,2.40911948
20171109153400,8289000,8297000,8297000,8289000,0.67781125
20171109153500,8291000,8295000,8297000,8290000,1.72456541
20171109153600,8292000,8297000,8297000,8292000,3.77066967
20171109153700,8295000,8297000,8297000,8294000,2.18499909
20171109153800,8293000,8296000,8297000,8292000,1.28172224
20171109153900,8296000,8294000,8296000,8290000,1.53956228
20171109154000,8296000,8293000,8296000,8293000,1.1662259
20171109154100,8293000,8294000,8294000,8291000,3.64193605
20171109154200,8294000,8291000,8294000,8291000,0.65689557
20171109154300,8291000,8294000,8294000,8291000,1.34513887
20171109154400,8292000,8291000,8292000,8290000,1.00442258
20171109154500,8291000,8291000,8291000,8291000,0.79290727
20171109154600,8291000,8291000,8291000,8290000,1.10357219
20171109154700,8291000,8293000,8293000,8290000,1.97594975
20171109154800,8294000,8292000,8294000,8292000,0.923369
20171109154900,8293000,8292000,8293000,8291000,1.64115533
20171109155000,8292000,8293000,8293000,8292000,1.07740934
20171109155100,8293000,8292000,8293000,8292000,1.04341439
20171109155200,8293000,8293000,8293000,8290000,1.90764153
20171109155300,8292000,8293000,8293000,8291000,0.57256571
20171109155400,8292000,8294000,8294000,8292000,1.41213603
20171109155500,8294000,8298000,8298000,8293000,2.49454712
20171109155600,8298000,8298000,8299000,8297000,2.59450795
20171109155700,8299000,8299000,8299000,8299000,0.45941999
20171109155800,8298000,8299000,8299000,8298000,1.71096592
20171109155900,8299000,8298000,8299000,8297000,1.73483515
20171109160000,8298000,8298000,8298000,8298000,1.09465034
20171109160100,8299000,8299000,8299000,8298000,1.56496232
20171109160200,8299000,8298000,8299000,8298000,1.95111437
20171109160300,8298000,8298000,8299000,8297000,0.72649562
20171109160400,8298000,8299000,8299000,8298000,0.89193019
20171109160500,8299000,8300000,8300000,8299000,1.32754864
20171109160600,8299000,8297000,8300000,8297000,5.10295381
20171109160700,8296000,8297000,8297000,8296000,1.30075021
20171109160800,8296000,8299000,8299000,8296000,1.45242719
20171109160900,8299000,8296000,8299000,8296000,2.34996477
20171109161000,8297000,8292000,8297000,8292000,1.85528508
20171109161100,8295000,8295000,8296000,8290000,1.08258143
20171109161200,8294000,8295000,8295000,8292000,1.09478604
20171109161300,8293000,8294000,8295000,8290000,3.45375612
20171109161400,8295000,8295000,8295000,8294000,1.62202468
20171109161500,8295000,8298000,8300000,8294000,1.86342259
20171109161600,8298000,8297000,8300000,8297000,0.96444176
20171109161700,8298000,8298000,8300000,8297000,1.00091248
20171109161800,8298000,8297000,8298000,8297000,2.29364566
20171109161900,8296000,8291000,8296000,8290000,2.72262571
20171109162000,8293000,8290000,8294000,8288000,1.65116443
20171109162100,8291000,8292000,8292000,8291000,1.65555953
20171109162200,8291000,8286000,8291000,8285000,5.03887646
20171109162300,8285000,8287000,8288000,8284000,1.29010318
20171109162400,8287000,8285000,8288000,8282000,2.12197947
20171109162500,8284000,8279000,8284000,8277000,1.42065719
20171109162600,8273000,8279000,8279000,8272000,1.18547477
20171109162700,8275000,8275000,8278000,8274000,1.56692979
20171109162800,8276000,8278000,8279000,8275000,1.86273236
20171109162900,8277000,8280000,8280000,8276000,1.10036134
20171109163000,8280000,8289000,8290000,8280000,0.9710107
20171109163100,8290000,8295000,8295000,8289000,0.96390802
20171109163200,8295000,8295000,8298000,8291000,1.03194293
20171109163300,8295000,8290000,8295000,8290000,0.8531962
20171109163400,8294000,8290000,8294000,8290000,1.32122361
20171109163500,8289000,8291000,8293000,8289000,1.88494465
20171109163600,8291000,8292000,8298000,8291000,1.02253463
20171109163700,8291000,8291000,8292000,8289000,1.20382872
20171109163800,8292000,8294000,8296000,8292000,1.02975657
20171109163900,8295000,8295000,8296000,8294000,0.95922492
20171109164000,8296000,8297000,8298000,8295000,2.54535894
20171109164100,8297000,8301000,8301000,8297000,1.68045504
20171109164200,8301000,8302000,8302000,8301000,2.19535822
20171109164300,8303000,8305000,8306000,8303000,1.40635033
20171109164400,8308000,8311000,8311000,8307000,1.78627351
20171109164500,8311000,8319000,8319000,8310000,1.44136834
20171109164600,8319000,8321000,8321000,8319000,1.50312448
20171109164700,8320000,8319000,8321000,8319000,3.70516642
20171109164800,8320000,8321000,8321000,8300000,3.26952923
20171109164900,8301000,8319000,8321000,8300000,1.28086848
20171109165000,8318000,8315000,8318000,8302000,1.0168977
20171109165100,8303000,8304000,8315000,8302000,1.58513198
20171109165200,8303000,8304000,8314000,8303000,1.07489111
20171109165300,8307000,8304000,8307000,8303000,1.61992634
20171109165400,8306000,8307000,8307000,8305000,1.09819729
20171109165500,8307000,8306000,8307000,8306000,1.79276436
20171109165600,8306000,8307000,8307000,8305000,1.80393341
20171109165700,8306000,8304000,8307000,8304000,2.90442512
20171109165800,8307000,8306000,8307000,8304000,1.23464486
20171109165900,8306000,8306000,8307000,8306000,0.86947944
20171109170000,8307000,8307000,8307000,8306000,0.84645811
20171109170100,8307000,8314000,8314000,8307000,0.9436062
20171109170200,8313000,8318000,8319000,8313000,0.8967037
20171109170300,8317000,8319000,8321000,8314000,1.29803095
20171109170400,8318000,8317000,8321000,8317000,1.57934381
20171109170500,8317000,8316000,8317000,8314000,1.65960794
20171109170600,8314000,8314000,8316000,8313000,1.11656422
20171109170700,8314000,8314000,8314000,8309000,1.65832463
20171109170800,8312000,8307000,8312000,8307000,2.74163017
20171109170900,8305000,8305000,8306000,8302000,5.3138280999999985
20171109171000,8306000,8305000,8306000,8305000,1.98894422
20171109171100,8305000,8305000,8306000,8304000,1.76598031
20171109171200,8304000,8304000,8307000,8303000,2.24795441
20171109171300,8304000,8305000,8315000,8299000,3.77819633
20171109171400,8305000,8315000,8316000,8305000,3.26661546
20171109171500,8315000,8308000,8316000,8304000,2.6383268
20171109171600,8304000,8306000,8308000,8304000,1.62482957
20171109171700,8305000,8304000,8305000,8304000,2.04563112
20171109171800,8300000,8301000,8305000,8299000,2.23688879
20171109171900,8302000,8300000,8303000,8299000,2.607143
20171109172000,8303000,8299000,8303000,8299000,2.04219658
20171109172100,8298000,8297000,8299000,8279000,4.53070228
20171109172200,8296000,8297000,8299000,8296000,2.64363624
20171109172300,8298000,8298000,8299000,8298000,1.68571337
20171109172400,8298000,8280000,8299000,8280000,2.90960476
20171109172500,8281000,8291000,8294000,8271000,3.82798626
20171109172600,8291000,8289000,8291000,8270000,2.93035719
20171109172700,8272000,8269000,8298000,8268000,4.02301845
20171109172800,8269000,8250000,8287000,8250000,6.42040041
20171109172900,8250000,8215000,8250000,8214000,5.278510400000001
20171109173000,8214000,8203000,8220000,8203000,2.84793502
20171109173100,8202000,8250000,8250000,8201000,4.8116993
20171109173200,8250000,8204000,8250000,8201000,4.288057299999998
20171109173300,8203000,8236000,8240000,8202000,2.85770569
20171109173400,8236000,8208000,8237000,8204000,2.40636649
20171109173500,8208000,8203000,8210000,8203000,6.11602251
20171109173600,8203000,8199000,8203000,8199000,7.43043494
20171109173700,8195000,8187000,8230000,8186000,5.46222174
20171109173800,8229000,8187000,8229000,8186000,2.5562444
20171109173900,8187000,8186000,8187000,8184000,2.27281973
20171109174000,8186000,8184000,8187000,8183000,5.32282281
20171109174100,8184000,8184000,8184000,8180000,6.64815585
20171109174200,8185000,8181000,8185000,8181000,2.63991872
20171109174300,8181000,8210000,8210000,8181000,1.63984756
20171109174400,8186000,8189000,8209000,8186000,2.3694373
20171109174500,8189000,8210000,8210000,8189000,5.36627737
20171109174600,8220000,8220000,8224000,8210000,1.53550081
20171109174700,8220000,8227000,8227000,8214000,5.55215413
20171109174800,8227000,8242000,8243000,8227000,1.65614798
20171109174900,8242000,8241000,8243000,8233000,1.14960381
20171109175000,8235000,8235000,8242000,8235000,2.66527869
20171109175100,8235000,8242000,8242000,8232000,3.9592863
20171109175200,8235000,8239000,8240000,8234000,2.88252434
20171109175300,8235000,8235000,8236000,8230000,1.62949242
20171109175400,8230000,8226000,8230000,8210000,1.5812634
20171109175500,8211000,8210000,8212000,8210000,0.8617604999999999
20171109175600,8210000,8211000,8211000,8210000,0.76571667
20171109175700,8221000,8219000,8221000,8214000,0.76046911
20171109175800,8217000,8213000,8217000,8213000,1.18792514
20171109175900,8213000,8209000,8213000,8209000,1.65414035
20171109180000,8209000,8213000,8213000,8208000,3.85877579
20171109180100,8212000,8211000,8213000,8210000,1.05366867
20171109180200,8210000,8211000,8211000,8210000,1.06872609
20171109180300,8212000,8212000,8213000,8210000,1.75990211
20171109180400,8212000,8212000,8213000,8210000,1.45359463
20171109180500,8212000,8216000,8216000,8212000,2.349481
20171109180600,8214000,8213000,8219000,8213000,2.88351687
20171109180700,8218000,8219000,8219000,8213000,2.45727064
20171109180800,8216000,8212000,8216000,8212000,7.22362582
20171109180900,8213000,8210000,8213000,8209000,2.45445342
20171109181000,8205000,8203000,8210000,8201000,1.71177188
20171109181100,8201000,8180000,8202000,8180000,4.06773266
20171109181200,8180000,8160000,8180000,8160000,3.56177307
20171109181300,8160000,8160000,8165000,8151000,4.78806391
20171109181400,8160000,8161000,8165000,8153000,3.04639793
20171109181500,8164000,8170000,8170000,8163000,2.09661018
20171109181600,8170000,8167000,8170000,8165000,2.51069731
20171109181700,8168000,8168000,8168000,8152000,3.34557538
20171109181800,8165000,8173000,8173000,8154000,2.9270321
20171109181900,8175000,8171000,8210000,8171000,4.19669581
20171109182000,8170000,8170000,8171000,8166000,1.08531218
